system,condition,target,n_human,n_generated,auroc
learned_fusion,echoes__count_control_DiffRhythm,echoes,59,742,0.9739595230481064
learned_fusion,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.9925938346616165
learned_fusion,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.9937523014808385
learned_fusion,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.9894659578105685
learned_fusion,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.9956454338620163
learned_fusion,artifactbench__fmc_fit_only,artifactbench,860,1404,0.8692373948187901
clam,artifactbench__base,artifactbench,860,1404,0.9289662426290333
clam,echoes__base,echoes,59,742,0.895061446388597
clam,fakemusiccaps__base,fakemusiccaps,1102,5520,0.8020838265077987
clam,artifactbench__without_Suno,artifactbench,860,1404,0.8966449678658981
clam,artifactbench__count_control_Suno,artifactbench,860,1404,0.9155808984297356
clam,artifactbench__without_Udio,artifactbench,860,1404,0.8944858543695754
clam,artifactbench__count_control_Udio,artifactbench,860,1404,0.9133704366262506
clam,artifactbench__without_MusicGen,artifactbench,860,1404,0.8980297157622739
clam,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9204076393029881
clam,echoes__without_Suno,echoes,59,742,0.8727899858376353
clam,echoes__count_control_Suno,echoes,59,742,0.9014573530083604
clam,echoes__without_Udio,echoes,59,742,0.8959751473342774
clam,echoes__count_control_Udio,echoes,59,742,0.8934396272100141
clam,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.7834964096898919
clam,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.8035745285252112
clam,artifactbench__without_StableAudio,artifactbench,860,1404,0.9190096402305705
clam,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9294474259590539
clam,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.916315510501557
clam,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9229179089644206
clam,echoes__without_StableAudio,echoes,59,742,0.8997213212115674
clam,echoes__count_control_StableAudio,echoes,59,742,0.8809676093014756
clam,echoes__without_AudioLDM,echoes,59,742,0.8860386495500023
clam,echoes__count_control_AudioLDM,echoes,59,742,0.8867010827356206
clam,echoes__without_DiffRhythm,echoes,59,742,0.8984878249348988
clam,echoes__count_control_DiffRhythm,echoes,59,742,0.8806478139704875
clam,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.783329716720587
clam,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.8074538388700386
clam,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.780850528683027
clam,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.8009151674162919
clam,artifactbench__fmc_fit_only,artifactbench,860,1404,0.7933785529715762
musicdet,artifactbench__base,artifactbench,860,1404,0.7216002451467567
musicdet,echoes__base,echoes,59,742,0.6573164603225364
musicdet,fakemusiccaps__base,fakemusiccaps,1102,5520,0.5296288533364897
musicdet,artifactbench__without_Suno,artifactbench,860,1404,0.7216002451467567
musicdet,artifactbench__count_control_Suno,artifactbench,860,1404,0.7216002451467567
musicdet,artifactbench__without_Udio,artifactbench,860,1404,0.7216002451467567
musicdet,artifactbench__count_control_Udio,artifactbench,860,1404,0.7216002451467567
musicdet,artifactbench__without_MusicGen,artifactbench,860,1404,0.7216002451467567
musicdet,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.7216002451467567
musicdet,echoes__without_Suno,echoes,59,742,0.6573164603225364
musicdet,echoes__count_control_Suno,echoes,59,742,0.6573164603225364
musicdet,echoes__without_Udio,echoes,59,742,0.6573164603225364
musicdet,echoes__count_control_Udio,echoes,59,742,0.6573164603225364
musicdet,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.5296288533364897
musicdet,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.5296288533364897
musicdet,artifactbench__fmc_fit_only,artifactbench,860,1404,0.672768005035447
sofia_vag,artifactbench__base,artifactbench,860,1404,0.9245776187636652
sofia_vag,echoes__base,echoes,59,742,0.9414089268582393
sofia_vag,fakemusiccaps__base,fakemusiccaps,1102,5520,0.9422468042294642
sofia_vag,artifactbench__without_Suno,artifactbench,860,1404,0.9056806135294508
sofia_vag,artifactbench__count_control_Suno,artifactbench,860,1404,0.9254397734048896
